Credit card,2011,1260,33,19
Mortgage,2011,1276,66,33
Bank account or service,2012,12212,98,19
Consumer Loan,2012,1986,84,19
Credit reporting,2012,1873,31,38
Student loan,2012,2840,53,42
Bank account or service,2013,13388,164,18
Debt collection,2013,11069,984,9
Money transfers,2013,559,58,30
Payday loan,2013,194,31,13
Bank account or service,2014,14662,258,17
Other financial service,2014,116,38,12
Prepaid card,2014,336,29,22
Virtual currency,2014,1,1,100
Bank account or service,2015,17140,215,17
Bank account or service,2016,21848,230,15
Bank account or service,2017,6956,174,16
Checking or savings account,2017,12763,183,17
Credit card or prepaid card,2017,15404,170,15
Credit reporting- credit repair services- or other personal consumer reports,2017,73394,1020,35
Money transfer- virtual currency- or money service,2017,3266,178,32
Payday loan- title loan- or personal loan,2017,2958,392,6
Vehicle loan or lease,2017,3694,249,13
Checking or savings account,2018,21211,214,16
Checking or savings account,2019,21740,253,15
Checking or savings account,2020,4157,159,16
